city,arrondissement,price,area,rooms,bathrooms,url
marrakech,Mhamid,308000.0,77.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7874046/vente-d-un-bel-appartement-%C3%A0-mhamid-surface-totale-77-m%C2%B2
marrakech,,,,,,https://www.mubawab.ma/fr/p/4094/menzah-annakhil-tranche-2
marrakech,Samlalia,500000.0,40.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7837805/appartement-en-vente-%C3%A0-samlalia-superficie-40-m%C2%B2
marrakech,Mhamid,270000.0,55.0,2.0,1.0,https://www.mubawab.ma/fr/a/7810989/appartement-%C3%A0-l-achat-%C3%A0-mhamid-9-3-pi%C3%A8ces-confortables-avec-ascenseur-et-espace-vert
marrakech,Samlalia,512500.0,41.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7837803/appartement-en-vente-%C3%A0-samlalia-1-belle-chambre
marrakech,Samlalia,728000.0,56.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7798639/appartement-%C3%A0-l-achat-%C3%A0-samlalia-1-chambre
marrakech,Mhamid,288000.0,64.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7874045/appartement-%C3%A0-vendre-%C3%A0-mhamid-2-chambres
marrakech,Mhamid,264000.0,66.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7874044/superbe-appartement-%C3%A0-vendre-%C3%A0-mhamid-2-belles-chambres
marrakech,Mhamid,276000.0,69.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7874043/appartement-en-vente-%C3%A0-mhamid-2-chambres
marrakech,Mhamid,279000.0,62.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7874042/appartement-%C3%A0-vendre-%C3%A0-mhamid-surface-totale-62-m%C2%B2
marrakech,Mhamid,220000.0,55.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7789121/local-commercial-%C3%A0-l-achat
marrakech,Mhamid,316000.0,79.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7789120/appartement-en-vente-surface-de-56-m%C2%B2
marrakech,Mhamid,370200.0,93.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7765569/appartements-et-commerces
marrakech,Samlalia,537500.0,43.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7798634/appartement-%C3%A0-vendre-%C3%A0-samlalia-superficie-43-m%C2%B2
marrakech,Samlalia,741000.0,57.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7798640/superbe-appartement-%C3%A0-vendre-%C3%A0-samlalia-1-chambre
marrakech,Guéliz,2300000.0,126.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7915670/duplex-%C3%A0-vendre-%C3%A0-gu%C3%A9liz-3-chambres
marrakech,Guéliz,2118000.0,94.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7915666/vente-d-un-bel-appartement-%C3%A0-gu%C3%A9liz-surface-totale-94-m%C2%B2
marrakech,Hivernage,2600000.0,87.0,2.0,2.0,https://www.mubawab.ma/fr/a/7942009/somptueux-appartement-meubl%C3%A9-%C3%A0-l%E2%80%99hivernage
marrakech,Riad Zitoun,4870000.0,230.0,7.0,9.0,https://www.mubawab.ma/fr/a/7924875/riad-luxe-a-vendre-marrakech
marrakech,Guéliz,1190000.0,60.0,2.0,2.0,https://www.mubawab.ma/fr/a/7825511/appartement-de-2-chambres-devant-le-grand-parc-harti
marrakech,Daoudiat,890000.0,107.0,2.0,2.0,https://www.mubawab.ma/fr/a/7811620/superbe-appartement-daoudiate
marrakech,Boukar,860000.0,86.0,2.0,2.0,https://www.mubawab.ma/fr/a/7918492/appartement-en-vente-%C3%A0-boukar-surface-de-86-m%C2%B2-fen%C3%AAtres-avec-double-vitrage-et-porte-blind%C3%A9e
marrakech,Mhamid,410000.0,63.0,2.0,1.0,https://www.mubawab.ma/fr/a/7725082/bel-appartement-%C3%A0-vendre-%C3%A0-mhamid-surface-de-63-m%C2%B2-grande-terrasse
marrakech,Route Casablanca,850000.0,85.0,2.0,2.0,https://www.mubawab.ma/fr/a/7859418/appartement-%C3%A0-l-achat-%C3%A0-route-casablanca-surface-de-85-m%C2%B2-antenne-parabolique-et-porte-blind%C3%A9e
marrakech,Hivernage,1732500.0,49.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7906275/vend-appartement-%C3%A0-hivernage-1-belle-chambre
marrakech,Route de Safi,650000.0,38.0,3.0,2.0,https://www.mubawab.ma/fr/a/7945040/vend-appartement-%C3%A0-route-de-safi-2-pi%C3%A8ces-confortables-s%C3%A9curis%C3%A9-24-24-
marrakech,Guéliz,1475000.0,57.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7915632/vente-d-un-bel-appartement-%C3%A0-gu%C3%A9liz
marrakech,Mhamid,272000.0,68.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7874041/superbe-appartement-%C3%A0-vendre-%C3%A0-mhamid-2-chambres-agr%C3%A9ables
marrakech,Guéliz,571200.0,48.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7674903/joli-studio-%C3%A0-vendre-amiral-immobilier
marrakech,Guéliz,392700.0,33.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7670560/joli-studio-%C3%A0-vendre-amiral-immobilier
marrakech,Guéliz,416500.0,35.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7670548/super-studio-%C3%A0-vendre-%C3%A0-gu%C3%A9liz-35-m%C2%B2
marrakech,Guéliz,1023400.0,86.0,2.0,2.0,https://www.mubawab.ma/fr/pa/7598949/magnifique-duplex-a-vendre-gu%C3%A9liz-86-m%C2%B2
marrakech,Guéliz,844900.0,71.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7152712/appartement-de-71m%C2%B2-en-vente-amiral-immobilier
marrakech,,,,,,https://immoexpo.avito.ma/ar/reservez-ticket/?utm_campaign=IMMO_EXPO_2024&utm_source=Mubawab&utm_medium=Display&utm_content=FR_native_ad&utm_term=none
marrakech,Guéliz,940100.0,79.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7152706/appartement-de-79m%C2%B2-en-vente-amiral-immobilier
